x_average   y_average   x_main   y_main   r_main   votes   z_min   z_max
-7.28432    -1.52591   -7.28025   -1.60529   0.1   13   1.9   2.39
-7.24689    4.46233   -7.23025   4.51971   0.15   30   1.9   2.39
-7.26683    -4.43613   -7.30525   -4.50529   0.1   11   1.9   2.39
-6.98448    7.35833   -6.98025   7.36971   0.075   6   1.9   2.39
-4.503    -7.79116   -4.55525   -7.80529   0.1   9   1.9   2.39
-4.5134    -4.81997   -4.50525   -4.93029   0.125   11   1.9   2.39
-4.29948    -1.18888   -4.33025   -1.25529   0.1   14   1.9   2.39
-4.22956    4.2805   -4.23025   4.19471   0.175   9   1.9   2.39
-4.20649    1.2628   -4.20525   1.24471   0.1   16   1.9   2.39
-4.14942    7.25507   -4.18025   7.21971   0.1   17   1.9   2.39
-1.55364    -7.55681   -1.65525   -7.65529   0.15   15   1.9   2.39
-1.30706    1.2575   -1.35525   1.31971   0.1   15   1.9   2.39
-1.20228    4.3998   -1.00525   4.51971   0.1   11   1.9   2.39
-1.32638    7.21962   -1.28025   7.21971   0.15   16   1.9   2.39
-1.29097    -1.41881   -1.30525   -1.50529   0.1   16   1.9   2.39
1.4452    -1.6579   1.46975   -1.68029   0.1   16   1.9   2.39
1.50556    1.35027   1.56975   1.39471   0.1   16   1.9   2.39
1.79318    -4.30879   1.76975   -4.33029   0.1   17   1.9   2.39
1.72568    7.29524   1.79475   7.29471   0.125   17   1.9   2.39
4.24839    -7.61381   4.31975   -7.70529   0.15   16   1.9   2.39
4.49652    1.20971   4.54475   1.29471   0.125   15   1.9   2.39
4.50369    7.28591   4.61975   7.31971   0.15   14   1.9   2.39
4.64224    4.45869   4.64475   4.46971   0.125   10   1.9   2.39
7.32194    -4.74137   7.39475   -4.80529   0.175   14   1.9   2.39
7.4803    1.23655   7.46975   1.31971   0.125   11   1.9   2.39
7.5042    -1.6834   7.51975   -1.68029   0.125   10   1.9   2.39
7.55434    4.39831   7.59475   4.39471   0.075   6   1.9   2.39
